NUM,Sci_WellID,ObjectLabelsFound,Sci_SampleID,Timepoint,Time,Censored,Event,MeasurementTag,0,15,29,39,53,63,87,111,161
285,A4,14,EV_Nrf,1,0,FALSE,TRUE,GFP,891.6570219,NA,NA,NA,NA,NA,NA,NA,NA
286,A4,14,EV_Nrf,1,0,FALSE,TRUE,RFP,5.362032463,NA,NA,NA,NA,NA,NA,NA,NA
319,A5,1,mito_EV,1,0,FALSE,TRUE,GFP,572.6212121,NA,NA,NA,NA,NA,NA,NA,NA
320,A5,1,mito_EV,1,0,FALSE,TRUE,RFP,16.60330579,NA,NA,NA,NA,NA,NA,NA,NA
363,A5,3,mito_EV,1,0,FALSE,TRUE,GFP,1107.267511,NA,NA,NA,NA,NA,NA,NA,NA
364,A5,3,mito_EV,1,0,FALSE,TRUE,RFP,98.99240506,NA,NA,NA,NA,NA,NA,NA,NA
325,A5,12,mito_EV,1,0,FALSE,TRUE,GFP,461.9057999,480.5507726,555.2126231,NA,NA,NA,NA,NA,NA
326,A5,12,mito_EV,1,0,FALSE,TRUE,RFP,67.39470611,57.12362031,69.98119964,NA,NA,NA,NA,NA,NA
359,A5,28,mito_EV,1,0,FALSE,TRUE,GFP,714.6269165,NA,NA,NA,NA,NA,NA,NA,NA
360,A5,28,mito_EV,1,0,FALSE,TRUE,RFP,80.02214651,NA,NA,NA,NA,NA,NA,NA,NA
377,A6,1,mito_EV,1,0,FALSE,TRUE,GFP,1005.043345,NA,NA,NA,NA,NA,NA,NA,NA
378,A6,1,mito_EV,1,0,FALSE,TRUE,RFP,460.921843,NA,NA,NA,NA,NA,NA,NA,NA
421,A6,5,mito_EV,1,0,FALSE,TRUE,GFP,342.1290743,NA,NA,NA,NA,NA,NA,NA,NA
422,A6,5,mito_EV,1,0,FALSE,TRUE,RFP,87.08735332,NA,NA,NA,NA,NA,NA,NA,NA
391,A6,16,mito_EV,1,0,FALSE,TRUE,GFP,268.3862952,NA,NA,NA,NA,NA,NA,NA,NA
392,A6,16,mito_EV,1,0,FALSE,TRUE,RFP,22.77710843,NA,NA,NA,NA,NA,NA,NA,NA
431,A7,1,mito_Drp,1,0,FALSE,TRUE,GFP,1517.14658,1554.334491,1071.54413,1004.196696,997.3010934,982.6764214,1004.323063,1070.79831,NA
432,A7,1,mito_Drp,1,0,FALSE,TRUE,RFP,330.0899023,221.4918515,444.3676093,357.9583006,418.3784693,409.9205686,427.9710551,425.7729673,NA
475,A7,3,mito_Drp,1,0,FALSE,TRUE,GFP,502.3881374,NA,NA,NA,NA,NA,NA,NA,NA
476,A7,3,mito_Drp,1,0,FALSE,TRUE,RFP,49.84807492,NA,NA,NA,NA,NA,NA,NA,NA
481,A7,4,mito_Drp,1,0,FALSE,TRUE,GFP,865.374569,1184.898234,1343.548635,1329.621053,904.1616499,904.1685912,NA,NA,NA
482,A7,4,mito_Drp,1,0,FALSE,TRUE,RFP,143.1452586,105.4146341,108.3019331,100.5285917,185.877369,187.886836,NA,NA,NA
483,A7,5,mito_Drp,1,0,FALSE,TRUE,GFP,613.3830508,709.8616462,NA,NA,NA,NA,NA,NA,NA
484,A7,5,mito_Drp,1,0,FALSE,TRUE,RFP,61.72824859,101.4036778,NA,NA,NA,NA,NA,NA,NA
445,A7,16,mito_Drp,1,0,FALSE,TRUE,GFP,683.2032027,652.8154403,692.0473506,720.049904,NA,NA,NA,NA,NA
446,A7,16,mito_Drp,1,0,FALSE,TRUE,RFP,234.1750414,131.579614,173.0518602,189.3973129,NA,NA,NA,NA,NA
457,A7,21,mito_Drp,1,0,FALSE,TRUE,GFP,4665.379575,5378.445334,2173.173378,2012.746876,1751.675497,1984.402212,1766.810507,2017.916045,NA
458,A7,21,mito_Drp,1,0,FALSE,TRUE,RFP,902.5543208,984.3673955,1660.433444,1560.136048,1375.669702,1492.816993,1577.644778,1889.921642,NA
459,A7,22,mito_Drp,1,0,FALSE,TRUE,GFP,552.487,672.2531735,695.7669492,NA,NA,NA,NA,NA,NA
460,A7,22,mito_Drp,1,0,FALSE,TRUE,RFP,147.539,125.7672779,141.1118644,NA,NA,NA,NA,NA,NA
515,A8,2,mito_Drp,1,0,FALSE,TRUE,GFP,3040.406716,2744.007383,2615.157167,2570.089816,2591.738,2591.707783,2545.101852,NA,NA
516,A8,2,mito_Drp,1,0,FALSE,TRUE,RFP,474.9514925,344.503965,296.9124424,283.8307402,292.3708733,280.4971698,287.8917379,NA,NA
553,A8,8,mito_Drp,1,0,FALSE,TRUE,GFP,2221.266876,3227.376836,1579.208333,1454.021821,1462.096674,1540.499162,1616.680154,1629.772822,NA
554,A8,8,mito_Drp,1,0,FALSE,TRUE,RFP,414.5318226,449.5140187,763.1378205,704.3431151,720.4276875,745.0929648,775.5346821,785.1109959,NA
555,A8,9,mito_Drp,1,0,FALSE,TRUE,GFP,899.2128961,NA,NA,NA,NA,NA,NA,NA,NA
556,A8,9,mito_Drp,1,0,FALSE,TRUE,RFP,97.90550306,NA,NA,NA,NA,NA,NA,NA,NA
511,A8,18,mito_Drp,1,0,FALSE,TRUE,GFP,518.4057263,756.521975,652.4414226,NA,NA,NA,NA,NA,NA
512,A8,18,mito_Drp,1,0,FALSE,TRUE,RFP,37.59427374,50.71785133,46.90533473,NA,NA,NA,NA,NA,NA
533,A8,28,mito_Drp,1,0,FALSE,TRUE,GFP,459.140255,NA,NA,NA,NA,NA,NA,NA,NA
534,A8,28,mito_Drp,1,0,FALSE,TRUE,RFP,46.44990893,NA,NA,NA,NA,NA,NA,NA,NA
535,A8,29,mito_Drp,1,0,FALSE,TRUE,GFP,893.2215367,1588.455459,741.254065,728.7542553,728.2514156,695.8308668,NA,NA,NA
536,A8,29,mito_Drp,1,0,FALSE,TRUE,RFP,97.37969714,57.41929002,90.39939024,90.72978723,96.46206116,91.9577167,NA,NA,NA
541,A8,31,mito_Drp,1,0,FALSE,TRUE,GFP,1103.053931,1273.140603,NA,NA,NA,NA,NA,NA,NA
542,A8,31,mito_Drp,1,0,FALSE,TRUE,RFP,149.4616088,80.10425634,NA,NA,NA,NA,NA,NA,NA
579,A9,2,mito_DrpK38A,1,0,FALSE,TRUE,GFP,545.9902263,511.364392,500.0842722,518.2838908,484.3418803,NA,NA,NA,NA
580,A9,2,mito_DrpK38A,1,0,FALSE,TRUE,RFP,81.09207819,74.75371829,73.73681839,71.90757042,73.37735043,NA,NA,NA,NA
615,A9,6,mito_DrpK38A,1,0,FALSE,TRUE,GFP,550.6601993,925.1008264,NA,NA,NA,NA,NA,NA,NA
616,A9,6,mito_DrpK38A,1,0,FALSE,TRUE,RFP,52.29889879,89.3785124,NA,NA,NA,NA,NA,NA,NA
621,A9,9,mito_DrpK38A,1,0,FALSE,TRUE,GFP,446.1842752,504.3766234,465.925779,NA,NA,NA,NA,NA,NA
622,A9,9,mito_DrpK38A,1,0,FALSE,TRUE,RFP,69.11384111,89.61388611,95.85665722,NA,NA,NA,NA,NA,NA
559,A9,10,mito_DrpK38A,1,0,FALSE,TRUE,GFP,288.654661,497.8044444,NA,NA,NA,NA,NA,NA,NA
560,A9,10,mito_DrpK38A,1,0,FALSE,TRUE,RFP,43.18644068,81.00592593,NA,NA,NA,NA,NA,NA,NA
581,A9,20,mito_DrpK38A,1,0,FALSE,TRUE,GFP,1118.9434,1346.839322,1373.80589,1425.176701,605.9011567,NA,NA,NA,NA
582,A9,20,mito_DrpK38A,1,0,FALSE,TRUE,RFP,315.1936937,391.6081954,355.7246346,370.0023068,866.7245005,NA,NA,NA,NA
587,A9,23,mito_DrpK38A,1,0,FALSE,TRUE,GFP,490.4272237,NA,NA,NA,NA,NA,NA,NA,NA
588,A9,23,mito_DrpK38A,1,0,FALSE,TRUE,RFP,101.754717,NA,NA,NA,NA,NA,NA,NA,NA
589,A9,24,mito_DrpK38A,1,0,FALSE,TRUE,GFP,467.7663126,NA,NA,NA,NA,NA,NA,NA,NA
590,A9,24,mito_DrpK38A,1,0,FALSE,TRUE,RFP,50.90895296,NA,NA,NA,NA,NA,NA,NA,NA
739,B10,5,mito_DrpK38A,1,0,FALSE,TRUE,GFP,566.345363,558.2877976,560.9993386,523.3514077,569.8110138,NA,NA,NA,NA
740,B10,5,mito_DrpK38A,1,0,FALSE,TRUE,RFP,153.167436,106.6485119,189.6719577,206.2127216,222.1714643,NA,NA,NA,NA
695,B10,13,mito_DrpK38A,1,0,FALSE,TRUE,GFP,247.2290586,NA,NA,NA,NA,NA,NA,NA,NA
696,B10,13,mito_DrpK38A,1,0,FALSE,TRUE,RFP,144.0896961,NA,NA,NA,NA,NA,NA,NA,NA
697,B10,14,mito_DrpK38A,1,0,FALSE,TRUE,GFP,900.3655914,678.4097693,652.4748299,NA,NA,NA,NA,NA,NA
698,B10,14,mito_DrpK38A,1,0,FALSE,TRUE,RFP,210.4928315,258.0556309,253.2,NA,NA,NA,NA,NA,NA
703,B10,17,mito_DrpK38A,1,0,FALSE,TRUE,GFP,364.5909935,385.1272545,316.0460829,306.3157664,NA,NA,NA,NA,NA
704,B10,17,mito_DrpK38A,1,0,FALSE,TRUE,RFP,134.6420613,140.1598196,107.2429828,105.5177866,NA,NA,NA,NA,NA
705,B10,18,mito_DrpK38A,1,0,FALSE,TRUE,GFP,184.2836364,NA,NA,NA,NA,NA,NA,NA,NA
706,B10,18,mito_DrpK38A,1,0,FALSE,TRUE,RFP,104.8890909,NA,NA,NA,NA,NA,NA,NA,NA
711,B10,20,mito_DrpK38A,1,0,FALSE,TRUE,GFP,501.3755908,1071.283907,994.1027246,889.4090268,1157.759391,994.393177,1354.24058,1349.78969,1221.678377
712,B10,20,mito_DrpK38A,1,0,FALSE,TRUE,RFP,86.30414234,73.24483907,88.55191458,78.44534556,107.2444127,90.39360341,127.093913,124.3028705,116.3440339
775,B11,21,mito_Nrf,1,0,FALSE,TRUE,GFP,925.8715447,1612.532369,1968.349776,2279.968485,2516.024422,2262.777778,NA,NA,NA
776,B11,21,mito_Nrf,1,0,FALSE,TRUE,RFP,828.499187,1000.104683,1282.791928,1520.709091,1567.024422,1322.607183,NA,NA,NA
785,B11,26,mito_Nrf,1,0,FALSE,TRUE,GFP,1281.224666,1589.146875,1469.996161,1509.268689,NA,NA,NA,NA,NA
786,B11,26,mito_Nrf,1,0,FALSE,TRUE,RFP,160.1334324,114.9894231,289.0316699,295.4994583,NA,NA,NA,NA,NA
801,B12,1,mito_Nrf,1,0,FALSE,TRUE,GFP,909.6322695,2185.923355,1867.887903,1879.968631,1946.56135,1905.839056,1665.278443,1155.491667,956.903169
802,B12,1,mito_Nrf,1,0,FALSE,TRUE,RFP,228.8003546,244.0755604,383.8870968,385.6891635,406.7177914,404.5708155,349.753493,232.4666667,201.1910211
827,B12,3,mito_Nrf,1,0,FALSE,TRUE,GFP,997.2964981,NA,NA,NA,NA,NA,NA,NA,NA
828,B12,3,mito_Nrf,1,0,FALSE,TRUE,RFP,60.17509728,NA,NA,NA,NA,NA,NA,NA,NA
837,B12,8,mito_Nrf,1,0,FALSE,TRUE,GFP,533.8887122,740.1515045,NA,NA,NA,NA,NA,NA,NA
838,B12,8,mito_Nrf,1,0,FALSE,TRUE,RFP,99.68521463,65.07487754,NA,NA,NA,NA,NA,NA,NA
